"","X","Sheet.Pan.Skirt.Steak.With.Balsamic.Vinaigrette..Broccolini..and.White.Beans.","Navy.Bean.and.Escarole.Stew.with.Feta.and.Olives","Baked.Feta.and.Greens.with.Lemony.Yogurt","White.Chicken.Chili","Easy.General.Tso.s.Chicken","Easy.Green.Curry.with.Chicken..Bell.Pepper..and.Sugar.Snap.Peas.","Persian.Spiced.Chicken.with.Spaghetti.Squash..Pomegranate..and.Pistachios.","Summer.Corn..Tomato..and.Salmon.Salad.with.Za.atar.Dressing.","Pumpkin.Cheesecake.with.Bourbon__our.Cream.Topping","Curried.Lentil..Tomato..and.Coconut.Soup.","Curried.Pumpkin.Soup","Stuffed.Sweet.Potatoes.with.Beans.and.Guacamole","One.Pot.Curried.Cauliflower.with.Couscous.and.Chickpeas","Istanbul.Style.Wet.Burger..Islak.Burger.","Kale.Salad.with.Butternut.Squash..Pomegranate..and.Pumpkin.Seeds.","Persian.Chicken.with.Turmeric.and.Lime","Pumpkin.Spice.Bundt.Cake.with.Buttermilk.Icing","Sheet.Pan.Cumin.Chicken.Thighs.with.Squash..Fennel..and.Grapes.","Butternut.Squash..Kale..and.Crunchy.Pepitas.Taco.","Slow.Cooker.Pork.Shoulder.with.Zesty.Basil.Sauce"
"39",38,4.98275425431903,4.73326392660382,4,4.86980923538406,5,5,4.55113256419528,5.02157248690227,5,5.20159104650096,4.40946357570206,5,4,5.12326049971389,5.28112523167186,4.53675424479434,4.33900280092358,5,5,4.70520397751639
"40",39,4.65807792689781,4.31190352145326,4.61261631628863,5,4.84261487634591,4.73462591855056,4.2359662393296,4.65401488393508,5,5,3.9779127618822,5,3,4,5,5,2,4.09321700743012,4.32769094280029,4.47755215537089
"41",40,4,5,4.68383576635925,5,4.92127248254132,4.81818442326546,4.30611206452588,5,5,4.94865861040806,4,3,4.06164222133527,4.80173357905592,4.91555131961499,3,4.03899764443883,5,4.39708869510121,4.56076341236655
"42",41,5,4.0852329935976,5,4.27320759116759,4.67090937559681,4.63425265925333,5,4.48539626280858,1,4.73182493448182,3.7314692020572,4.21047767346164,3.7765135228471,5,5,4.00020376147439,5,2,5,4.42512621163634
"43",42,5,4,5,5,4.23605795727336,5,3,3,2.97796016122808,4.3421691169505,1,4.666666667,3.31059173026371,3,4.11746005018093,3.58952859030231,5,3.36243880093775,3.76538779245853,2
"44",43,5.0972100262575,4.70882746856992,5,4.88808580975519,5,5,4,5,5,5,5,5,4,5.16764160951375,5.29057443102064,4.56569880618903,4.34714108322042,4.46747558899767,4.73197396889103,5
"45",44,4.52233945162658,5,5,4.2009319393697,4.63364964956385,4.65969279167724,4.07926506304031,4.44628781403249,3.32816744301033,5,1,5,3.6663243458082,5,5,3.94149926462469,2,3.7289201633268,4.12352613910772,5
"46",45,4.25270176865155,3.62881164442365,4.00283627883171,2,5,4.41873861088198,3.8165876553964,4.13900551200908,1,4.45101134550576,5,3.69741003402864,3.31781338746433,4.14640119436694,4.16214060532273,3.63976538138683,3.42079518827466,3.36326490920487,5,5
"47",46,4.92097149746265,5,4.76800996115338,5,5.06380266952868,4,4,4.86128771082075,3.72177755358668,5,4.00443289208456,5,4,4.90871235608043,5,4.32543141484429,4.09662380516297,4.13601143893415,4.51197827262292,4.83861798659941
"48",47,4.61179716032359,3.99563119787023,5,4.23651002282574,5,4.77298729983107,4.1488135752297,5,3.28903746799321,4.82515624701088,3.58920725549018,4.08420642254186,3.66443922795107,4.52977216937847,4.56433145600023,3.98124739581008,3.75116515788464,3.72059120323095,4.17894336844749,4.62417793641939
"49",48,5.14578162061332,3,4.98830322560337,4.83008737520245,5.29636527416259,5.27983934298534,4.65335668661012,5.08467562393141,5,5,5,4.73815722317724,5,5.13497214072703,5.21598923733067,3,4.28628381702909,5,4.71951587898169,5
"50",49,5.001497140876,4.39699235507029,4.79510942957904,4,5,5,5,4.91395597770319,3.66588891844195,5.23109632430346,3.97388047274994,4.50801689145017,4.04421492155094,5,5,5,5,3,4.55671355675515,4.97038207521928
"51",50,4.34903402097332,2,5,3.86644040717984,4.37308195565861,5,3,4.18769194361689,2.81739393190286,5,5,3,3.2541514600572,4.1708843555184,5,4,3.41157389836475,4,1,4.48869358334725
"52",51,5,4.63785495926842,5.05059157961332,4.88729832663557,5.3875176073437,5.41306011818911,4.74198255947941,5,3.87918941003012,5.49648909983168,5,5,4.26889218920675,5,5,4.58479252075129,4.33288705923882,4.3424664459421,4.79503786051642,5.21086579683068
"53",52,5,5,5,4.77956936290806,5.29297799507867,5.35397099910807,4.66600927554786,5,5,5,4.06833336505966,4.62331093757846,4,5.10480941001356,4,4.48892574309192,4.23382847453387,4.21419012674297,5,5.1759760041159
"54",53,4,2.48900993378005,1,3,3.39883700177821,3.81465518848923,5,3.24024571635759,1.64170687681735,3.6957169064405,2,2.42544632044816,2.18033685383823,4,3.01206504046907,2.72080467007652,1,2.15972666589039,3,4
