title,Slow Cooker Pork Shoulder with Zesty Basil Sauce ,Herb-Crusted Cauliflower Steaks with Beans and Tomatoes ,Mediterranean Eggplant and Barley Salad ,Vietnamese-Style Spaghetti Squash “Noodle” Bowls with Skirt Steak ,Pull-Apart Bread with Pumpkin and Spinach ,Persian Chicken with Turmeric and Lime ,Shrimp with Herby White Beans and Tomatoes ,Stuffed Sweet Potatoes with Beans and Guacamole ,Pasta With 15-Minute Meat Sauce ,Beef and Potato Pasties ,"Dandelion Salad with Pomegranate Seeds, Pine Nuts, and Roasted Delicata Squash ",One-Skillet Roasted Butternut Squash with Spiced Chickpeas ,"Cheesy Baked Spaghetti Squash Boats with Salami, Sun-Dried Tomatoes, and Spinach ",Skillet Chicken and Zucchini Enchiladas with Tomatillo Sauce ,Slow-Cooker White Chicken Chili ,Crispy Chicken and Potatoes with Cabbage Slaw ,Curried Pumpkin Soup ,"Curried Lentil, Tomato, and Coconut Soup ",Miso-Tahini Squash Soup with Brown Rice ,"Grain Bowls with Chicken, Spiced Chickpeas, and Avocado ",Butternut Squash and Creamed-Spinach Gratin ,Pumpkin Whoopie Pies ,Baked Feta and Greens with Lemony Yogurt ,Pasta with Smoky Pumpkin Cream Sauce ,Coconut Chicken Curry in a Hurry ,White Chicken Chili ,Pumpkin Spice Bundt Cake with Buttermilk Icing ,Broiled Cod with Fennel and Orange ,Hummus Dinner Bowls with Spiced Ground Beef and Tomatoes ,"Dill-Crusted Pork Tenderloin with Farro, Pea, and Blistered Tomato Salad ","Sheet-Pan Skirt Steak With Balsamic Vinaigrette, Broccolini, and White Beans ",Chilled Coconut Corn Soup ,Shrimp Poached in Coconut Milk with Fresh Herbs (Yerra Moolee) ,"Butternut Squash, Kale, and Crunchy Pepitas Taco ",Kabocha Squash and Pork Stir-Fry ,"Skillet Phyllo Pie with Butternut Squash, Kale, and Goat Cheese ",One-Pot Pasta Primavera with Shrimp ,"Quick Pork Ramen with Carrots, Zucchini, and Bok Choy ",Our Favorite Spaghetti and Meatballs ,"Chickpea Crêpe ""Tacos"" with Eggplant and Lamb ",Istanbul-Style Wet Burger (Islak Burger) ,Quick Chicken Tikka Masala ,Fresh Corn Quiche ,Twice-Baked Butternut Squash With Parmesan Cream and Candied Bacon ,Chile-Marinated Pork with Vietnamese Brussels Sprouts ,"Summer Corn, Tomato, and Salmon Salad with Za'atar Dressing ",White Bean Salad with Lemon and Cumin ,Winter Squash Soup with Gruyère Croutons ,Bourbon Pumpkin Pie ,Easy Beef Lo Mein ,One-Pot Curried Cauliflower with Couscous and Chickpeas ,"Persian-Spiced Chicken with Spaghetti Squash, Pomegranate, and Pistachios ",Sheet-Pan Pasta Bake with Chicken and Kale ,"Quick Sweet Potato, Mushroom, and Black Bean Burrito ",Easy General Tso's Chicken ,Fiorentini with Butternut Squash ,"Sheet-Pan Cumin Chicken Thighs with Squash, Fennel, and Grapes ",10-Minute Sausage Skillet with Cherry Tomatoes and Broccolini ,Broiled Salmon with Scallions and Sesame ,22-Minute Pad Thai ,Pumpkin Muffins ,Veggie Burgers with Zucchini and Corn ,Tomato and Cannellini Bean Soup ,Cheesy Chicken Enchilada Skillet ,Very Versatile Baked Beans With Cabbage ,Pumpkin Icebox Pie With Snickerdoodle Crust ,Black-Eyed Peas With Chard and Green Herb Smash ,Butternut Squash Vegducken ,Escarole with Italian Sausage and White Beans ,"Grain Bowl with Spiced Squash, Mushrooms, and Curried Yogurt ",Butternut Squash Tart with Fried Sage ,Herby Chicken Kofta Meatballs ,Basil-Cashew-Lime Vermicelli Bowls with Pork and Green Beans ,Baked Mustard-Crusted Salmon with Asparagus and Tarragon ,"Kale Salad with Butternut Squash, Pomegranate, and Pumpkin Seeds ",Pork and Squash Stew with Chiles ,Pumpkin Cheesecake with Bourbon–Sour Cream Topping ,"Braised Rotisserie Chicken with Bacon, Tomatoes, and Kale ",Quick Sesame Chicken with Broccoli ,"Our Favorite Lasagna with Sausage, Spinach, and Three Cheeses ","Easy Green Curry with Chicken, Bell Pepper, and Sugar Snap Peas ",Double-Pork Carnitas ,Thai Red Curry with Butternut Squash and Chickpeas ,Navy Bean and Escarole Stew with Feta and Olives ,Chicken and Dumplings with Mushrooms 
10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
11,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,1.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,3.0
12,4.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0
13,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0
14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,5.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
15,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0
16,5.0,5.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0
17,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,,4.0,2.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0
18,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0
19,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,,5.0,,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
20,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,,4.0,5.0,2.0
21,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
22,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,5.0,3.0,1.0,2.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0
23,2.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,,,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,,2.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0
24,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,,5.0,5.0
